candidateID,surfactant_in_water,ratio_of_surfactant_in_water,ratio_of_surfactant_in_oil,oil_type,surfactant_in_oil,ion_concentration_in_water,reward,TRUE,valid_reward,picindex,is_augmented
1A,ODEA,0,0,7500,Pico-surf,2,20.18727608979204,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\3.jpg""",TRUE
2A,ODEA,0,0,7500,Pico-surf,2,20.338192186617082,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\3.jpg""",TRUE
3A,ODEA,0,0,7500,Pico-surf,2,20.183696948515436,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\3.jpg""",TRUE
4A,ODEA,0,0,7500,Pico-surf,2,20.20997020326772,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\3.jpg""",TRUE
5A,ODEA,0,0,7500,Pico-surf,2,20.31124892142716,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\3.jpg""",TRUE
6A,CEDA,0.1,0.002,PMX-200,TEGO-410,1,16.878229961206934,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\6.jpg""",TRUE
7A,CEDA,0.1,0.002,PMX-200,TEGO-410,1,16.906438848767863,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\6.jpg""",TRUE
8A,CEDA,0.1,0.002,PMX-200,TEGO-410,1,16.990811179679067,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\6.jpg""",TRUE
9A,CEDA,0.1,0.002,PMX-200,TEGO-410,1,16.97616512283417,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\6.jpg""",TRUE
10A,CEDA,0.1,0.002,PMX-200,TEGO-410,1,17.004144077772445,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\6.jpg""",TRUE
11A,CEDA,0.1,0.002,FC-40,Perfluoro,1.5,8.098916981341665,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\7.jpg""",TRUE
12A,CEDA,0.1,0.002,FC-40,Perfluoro,1.5,8.180870564640966,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\7.jpg""",TRUE
13A,CEDA,0.1,0.002,FC-40,Perfluoro,1.5,8.158949402367018,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\7.jpg""",TRUE
14A,CEDA,0.1,0.002,FC-40,Perfluoro,1.5,8.112723474820084,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\7.jpg""",TRUE
15A,CEDA,0.1,0.002,FC-40,Perfluoro,1.5,8.115110231634269,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\7.jpg""",TRUE
16A,LDEA,0,0,PFPE,Perfluoro,0,5.851701532165323,TRUE,TRUE,"""C:\Users\westl\PycharmProjects\VLM2\my_dataset\blip_test\final-version\8.jpg""",TRUE
